TITULO_ORIGINAL;PUBLICO
INSIDE OUT 2;22201041
AVENGERS: ENDGAME;19361828
SPIDER-MAN: NO WAY HOME;17122520
THE LION KING;16055534
AVENGERS: INFINITY WAR;14286806
AVATAR: THE WAY OF WATER;11639907
NADA A PERDER;11418455
MINHA MÃE É UMA PEÇA 3;11376931
BARBIE;10709279
LILO & STITCH;10279684
THE INCREDIBLES 2;9711506
JOKER;9488050
MOANA 2;8999458
CAPTAIN MARVEL;8912389
DESPICABLE ME 3;8806062
MINHA MÃE É UMA PEÇA 2;8793951
JUSTICE LEAGUE;8479881
AQUAMAN;8449550
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS;8306633
THE FATE OF THE FURIOUS;8146005
BEAUTY AND THE BEAST;7942195
TOY STORY 4;7890748
DESPICABLE ME 4;7836262
ZOOTOPIA 2;7813091
FROZEN II;7803157
BLACK PANTHER;7388727
DEADPOOL & WOLVERINE;7380395
MINIONS: THE RISE OF GRU;6882626
WONDER WOMAN;6842440
SUICIDE SQUAD;6654251
THE SUPER MARIO BROS. MOVIE;6579883
WONDER;6572415
SPIDER-MAN: HOMECOMING;6569135
SPIDER-MAN: FAR FROM HOME;6498379
FAST X;6471185
MUFASA: THE LION KING;6443839
THOR: LOVE AND THUNDER;6358246
AVATAR: FIRE AND ASH;6283247
THOR: RAGNAROK;6232858
LOGAN;6172791
MICHAEL;6145313
THE DEVIL WEARS PRADA 2;6048257
HOW TO TRAIN YOUR DRAGON;5912940
THE BATMAN;5826347
AINDA ESTOU AQUI;5729127
BLACK PANTHER: WAKANDA FOREVER;5725873
MALEFICENT: MISTRESS OF EVIL;5703520
PUSS IN BOOTS: THE LAST WISH;5614071
A MINECRAFT MOVIE;5314329
JURASSIC WORLD: FALLEN KINGDOM;5293884
MINHA VIDA EM MARTE;5283211
HOTEL TRANSYLVANIA 3: SUMMER VACATION;5269036
NADA A PERDER 2;5257231
THE NUN;5136380
TOP GUN: MAVERICK;5027014
JUMANJI: WELCOME TO THE JUNGLE;4943907
THE SHACK;4931652
MOANA;4891736
ALADDIN;4771819
THE HOUSEMAID;4690289
THE CONJURING: LAST RITES;4622553
DEADPOOL 2;4578654
DOCTOR STRANGE;4568724
VENOM;4543417
SONIC THE HEDGEHOG 3;4441720
THE FANTASTIC FOUR: FIRST STEPS;4432323
FIFTY SHADES DARKER;4420164
GUARDIANS OF THE GALAXY VOL. 3;4362587
IT;4351454
SUPERMAN;4343828
RALPH BREAKS THE INTERNET;4335681
BLACK ADAM;4308622
O AUTO DA COMPADECIDA 2;4295597
FIFTY SHADES FREED;4281543
Mostras e Festivais;4240385
THE SUPER MARIO GALAXY MOVIE;4229898
THE LITTLE MERMAID;4131345
ELEMENTAL;4126806
FANTASTIC BEASTS AND WHERE TO FIND THEM;4097658
GUARDIANS OF THE GALAXY VOL.2;4050491
ETERNALS;4039576
AQUAMAN AND THE LOST KINGDOM;4019351
FAST & FURIOUS 9;4016723
VENOM: LET THERE BE CARNAGE;3962220
JURASSIC WORLD: DOMINION;3916180
THE SECRET LIFE OF PETS;3900062
HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD;3887896
PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES;3521894
FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD;3491862
STAR WARS: THE LAST JEDI;3429219
FERDINAND;3415890
JUMANJI: NEXT LEVEL;3301996
ANT-MAN AND THE WASP;3293202
JURASSIC WORLD: REBIRTH;3291238
SONIC THE HEDGEHOG 2;3156606
THE BOSS BABY;3108600
IT: CHAPTER TWO;3085536
BOHEMIAN RHAPSODY;3026839
SPIDER-MAN: ACROSS THE SPIDER-VERSE;3008555
THE FORGE;2991458
FALA SÉRIO, MÃE!;2989308
OPPENHEIMER;2979493
CAPTAIN AMERICA: BRAVE NEW WORLD;2958355
SONIC THE HEDGEHOG;2954247
IT ENDS WITH US;2947022
THE MUMMY;2943883
THE NUN 2;2939434
FIVE NIGHTS AT FREDDY'S;2933838
ANNABELLE: CREATION;2901277
SHAZAM!;2899490
TRANSFORMERS: THE LAST KNIGHT;2801115
STAR WARS: THE RISE OF SKYWALKER;2779762
KINGDOM OF THE PLANET OF THE APES;2728103
FAST & FURIOUS PRESENTS: HOBBS & SHAW;2716354
ROGUE ONE;2710461
ANT-MAN AND THE WASP: QUANTUMANIA;2695743
WAR FOR THE PLANET OF THE APES;2662563
SOUND OF FREEDOM;2652371
OS FAROFEIROS;2600060
SING;2586640
VENOM: THE LAST DANCE;2564582
FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE;2563650
MISSION: IMPOSSIBLE - FALLOUT;2513512
CARS 3;2467198
JOHN WICK: CHAPTER 4;2394933
O AGENTE SECRETO;2387428
DEMON SLAYER -KIMETSU NO YAIBA- THE MOVIE: INFINITY CASTLE;2300444
MINHA IRMÃ E EU;2288690
WONKA;2281003
SHANG-CHI AND THE LEGEND OF THE TEN RINGS;2161318
ANYONE BUT YOU;2140338
KUNG FU PANDA 4;2121971
ORPHAN: FIRST KILL;2117945
TURMA DA MÔNICA - LAÇOS;2116567
WONDER WOMAN 1984;2102838
THUNDERBOLTS*;2100554
JOKER: FOLIE À DEUX;2096153
GLADIATOR II;2091632
BLUE BEETLE;2086443
INFERNO;2065143
MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;2050508
THE HUNGER GAMES – BALLAD OF SONGBIRDS AND SNAKES;2039225
SPIDER-MAN: INTO THE SPIDER-VERSE;2038844
GODZILLA X KONG: THE NEW EMPIRE;2037258
PROJECT HAIL MARY;1980815
BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN);1974119
ASSASSIN'S CREED;1964476
COCO;1959630
WISH;1958274
FIVE NIGHTS AT FREDDY'S 2;1936822
THE SECRET LIFE OF PETS 2;1913532
BLACK WIDOW;1908831
THE FLASH;1901607
SNOW WHITE;1894243
OS FAROFEIROS 2;1879521
MISSION: IMPOSSIBLE - DEAD RECKONING PART ONE;1867127
GARFIELD;1844658
KONG: SKULL ISLAND;1835941
DE PERNAS PRO AR 3;1834595
DUMBO;1828012
FINAL DESTINATION: BLOODLINES;1819259
THE MEG;1813977
BAD BOYS: RIDE OR DIE;1798313
NOW YOU SEE ME: NOW YOU DON’T;1781326
ANNABELLE COMES HOME;1758904
TROLLS;1742891
M3GAN;1733690
BREAKTHROUGH;1703260
THE CONJURING: THE DEVIL MADE ME DO IT;1693228
É FADA!;1665150
X-MEN: DARK PHOENIX;1661517
THE EMOJI MOVIE;1657493
NOSSO LAR 2 - OS MENSAGEIROS;1618963
WOODY WOODPECKER;1600343
SCREAM 7;1598979
THE ADDAMS FAMILY;1595605
BUMBLEBEE;1591981
SING 2;1588780
DUNE: PART TWO;1574446
OS PARÇAS;1572787
BAD BOYS FOR LIFE;1520219
A QUIET PLACE;1502999
TROLLS BAND TOGETHER;1495957
THE GRINCH;1493866
SMALLFOOT;1473769
THE WILD ROBOT;1470491
FINDING DORY;1470272
UNCHARTED;1465812
RINGS;1465195
MISSION: IMPOSSIBLE - THE FINAL RECKONING;1461311
PAW PATROL: THE MIGHTY MOVIE;1453826
MAZE RUNNER: THE DEATH CURE;1438538
A QUIET PLACE: DAY ONE;1423244
THE GREAT WALL;1422753
F1 THE MOVIE;1415648
A STAR IS BORN;1411915
SMURFS: THE LOST VILLAGE;1397111
BEETLEJUICE BEETLEJUICE;1366107
MORBIUS;1361695
RAMPAGE;1361377
MIGRATION;1360379
POLÍCIA FEDERAL - A LEI É PARA TODOS;1359447
GLASS;1356049
