TITULO_ORIGINAL;PUBLICO;ANO_LANCAMENTO;CLASSIFICACAO;GENEROS;ATORES_PRINCIPAIS;DIRETORES;PRODUTORAS
INSIDE OUT 2;22201041;2024;L;Animação, Aventura, Comédia, Família;Amy Poehler, Maya Hawke, Kensington Tallman, Liza Lapira, Tony Hale, Lewis Black, Phyllis Smith, Ayo Edebiri, Lilimar, Grace Lu, Sumayyah Nuriddin-Green, Adèle Exarchopoulos, Diane Lane, Kyle MacLachlan, Paul Walter Hauser, Yvette Nicole Brown, Ron Funches, James Austin Johnson, Yong Yea, Steve Purcell, Dave Goelz, Kirk R. Thatcher, Frank Oz, Paula Pell, June Squibb, Pete Docter, Paula Poundstone, John Ratzenberger, Sarayu Blue, Flea, Bobby Moynihan, Kendall Coyne Schofield;Kelsey Mann;Pixar
AVENGERS: ENDGAME;19361828;2019;12;Aventura, Ficção científica, Ação;Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Josh Brolin, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman, Brie Larson, Tom Holland, Karen Gillan, Zoe Saldaña, Evangeline Lilly, Tessa Thompson, Rene Russo, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Tom Hiddleston, Danai Gurira, Benedict Wong, Pom Klementieff, Dave Bautista, Letitia Wright, John Slattery, Tilda Swinton, Jon Favreau, Hayley Atwell, Natalie Portman, Marisa Tomei, Taika Waititi, Angela Bassett, Michael Douglas, Michelle Pfeiffer, William Hurt, Cobie Smulders, Sean Gunn, Winston Duke, Linda Cardellini, Maximiliano Hernández, Frank Grillo, Hiroyuki Sanada, Tom Vaughan-Lawlor, James D'Arcy, Jacob Batalon, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Robert Redford, Chris Pratt, Samuel L. Jackson, Lexi Rabe, Ross Marquand, Joe Russo, Emma Fuhrmann, Michael James Shaw, Terry Notary, Kerry Condon, Ben Sakamoto, Ava Russo, Cade Woodward, Stan Lee, Yvette Nicole Brown, Callan Mulvey, Lia Mariella Russo, Julian Russo, Taylor Patterson, Agostino Rosalina, Ken Jeong, Ty Simpkins, Jackson A. Dunn, Lee Moore, Bazlo LeClair, Loen LeClair, Matthew Berry, Joy McAvoy, John Michael Morris, Michael A. Cook, Brent McGee, Brian Schaeffer, Jamie Wedel, Anthony G Breed, Erica Ribley, Monique Ganderton, Jim Starlin, Jimmy Ray Pickens, Hye Jin Jang, Russell Bobbitt, James Lin, Jack Champion, Sam Hargrave, Patrick Gorman, Aaron Lazar, Robert Pralgo, Tom Wisdom, John Posey, Ameenah Kaplan, Olaniyan Thurmon, Jennifer Elmore, Mike Lutz, Donald Mustard, Kari Yovetich;Anthony Russo, Joe Russo;Marvel Studios
SPIDER-MAN: NO WAY HOME;17122520;2021;12;Ação, Aventura, Ficção científica;Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon, Jon Favreau, Jamie Foxx, Willem Dafoe, Alfred Molina, Benedict Wong, Tony Revolori, Marisa Tomei, Andrew Garfield, Tobey Maguire, Angourie Rice, Arian Moayed, Paula Newsome, Hannibal Buress, Martin Starr, JB Smoove, J.K. Simmons, Rhys Ifans, Charlie Cox, Thomas Haden Church, Haroon Khan, Emily Fong, Mary Rivera, Rudy Eisenzopf, Kathleen Cardoso, Jonathan Sam, Andrew Dunlap, Zany Dunlap, B. Clutch Dunlap, Minnah Dunlap, Ben VanderMey, Gary Weeks, Gregory Konow, Carol Anne Dines, Anisa Nyell Johnson, Willie D. Burton, Mallory Hoff, Greg Clarkson, Regina Ting Chen, Robert Mitchel Owenby, Glenn Keogh, Paris Benjamin, Jwaundace Candece, Taylor St. Clair, Rolando Fernandez, Gabriella Cila, Darnell Appling, Edward Force, Michael Le, Dean Meminger, Frederick A. Brown, Cristo Fernández, Clay Savage, Tom Hardy, Jay Karales, Harry Holland, John M. Maiers, Robert Tinsley, Cole Failing, Justin East;Jon Watts;Marvel Studios, Pascal Pictures, Columbia Pictures
THE LION KING;16055534;1994;L;Animação, Família, Drama;Matthew Broderick, Moira Kelly, Jeremy Irons, Nathan Lane, Ernie Sabella, James Earl Jones, Robert Guillaume, Rowan Atkinson, Jim Cummings, Whoopi Goldberg, Cheech Marin, Jonathan Taylor Thomas, Niketa Calame-Harris, Madge Sinclair, Zoe Leader, Frank Welker, Cathy Cavadini, Judi Durand, Daamen J. Krall, David McCharen, Mary Linda Phillips, Phil Proctor, David J. Randolph, Brian Tochi, Roger Allers, Rob Minkoff, Jason Weaver;Roger Allers, Rob Minkoff;Walt Disney Pictures, Walt Disney Feature Animation
AVENGERS: INFINITY WAR;14286806;2018;12;Aventura, Ação, Ficção científica;Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldaña, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Idris Elba, Danai Gurira, Peter Dinklage, Benedict Wong, Pom Klementieff, Dave Bautista, Vin Diesel, Bradley Cooper, Chris Pratt, Gwyneth Paltrow, Benicio del Toro, Sean Gunn, William Hurt, Letitia Wright, Terry Notary, Tom Vaughan-Lawlor, Carrie Coon, Michael James Shaw, Stan Lee, Winston Duke, Florence Kasumba, Kerry Condon, Monique Ganderton, Jacob Batalon, Tiffany Espensen, Isabella Amara, Ethan Dizon, Ariana Greenblatt, Ameenah Kaplan, Ross Marquand, Michael Anthony Rogers, Stephen McFeely, Aaron Lazar, Robert Pralgo, Olaniyan Thurmon, Blair Jasin, Matthew Zuk, Laura Miller, Kenneth Branagh, Samuel L. Jackson, Cobie Smulders, Harrison Osterfield, Gary Peebles, Marija Abney, Zola Williams, Marie Mouroum, James Siderits, Precious Jenkins, Bobby James, Lady Cardinal, Tanya Wheelock, Robert Tinsley;Anthony Russo, Joe Russo;Marvel Studios
AVATAR: THE WAY OF WATER;11639907;2022;14;Ação, Aventura, Ficção científica;Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet, Cliff Curtis, Joel David Moore, CCH Pounder, Edie Falco, Jemaine Clement, Giovanni Ribisi, Britain Dalton, Jamie Flatters, Trinity Jo-Li Bliss, Jack Champion, Brendan Cowell, Bailey Bass, Filip Geljo, Duane Evans Jr., Dileep Rao, Matt Gerald, Robert Okumu, Jennifer Stafford, Keston John, Kevin Dorman, Alicia Vela-Bailey, Sean Anthony Moran, Andrew Arrabito, Johnny Alexander, Kim Do, Victor T. Lopez, Maria Walker, Phil Brown, Jocelyn Christian, Joel Tobeck, Moana Ete, Phil Peleton, Jamie Landau, Jim Moore, Benjamin Hoetjes, Nikita Tu Bryant, Anthony Ahern, Shane Rangi, Rick Lucas, Tanya Drewery, Ava Diakhaby, Isaac Te Reina, Eric Farmer, Philip Mtambo, Daniel Lough, Cruz Moir, Alex Lucas, Scarlett Fernandez, Chloe Coleman, Jeremy Irwin, Alicia Vela-Bailey, Kacie Borrowman, Courtney Rosemont, Julene Renee, Jamie Landau, Jake McLean, Kevin Henderson, Shawn Driscoll, Devereau Chumrau, Tarikura Kapea, CJ Jones;James Cameron;20th Century Studios, Lightstorm Entertainment, TSG Entertainment
NADA A PERDER;11418455;2018;12;Drama, História;Petrônio Gontijo, Day Mesquita, Beth Goulart, Dalton Vigh, Eduardo Galvão, André Gonçalves, Marcello Airoldi, César Mello, Leonardo Franco, Raphael Viana, Otávio Martins, Arthur Kohl, José Victor Pires, Enzo Barone, Douglas Simon, Joana Rodrigues, Pedro Henrique Moutinho, Kevin Vechiatto, Bruna Tomio, Greta Antoine, Bianca Paiva, Caique Bruno, Eduardo Macedo, Tiffany Alvares, Darson Ribeiro, Renata Tavares, Lucas Lentini, Renata Dutra, Mayara Bertolini, Nina de Pádua, Antonio Gonzalez, Sol Menezzes, Larissa Ferrara, Camila Czerkes, Ricardo Ripa, Paulo Coronato, Rafael Sola, Greg Rahavia, Luiz Calvvo, Samuel de Assis, Ana Campos, Kiko Vianello, Giulia Ouro, Charles Myara, Rafael Awi, Bruno Rocha, Fernanda Mori, Alice Gonçalves, Nathalia Cano, Ana Elisa Mattos, Rita Batata, Gianlucca Mauad, Angela Girão, Isa Freitas, Lucinaira Sousa, Renata Vilella, Ricco Lima, Kathia Calil, Gustavo Haddad, André Bicudo, Giácomo Pinotti, Federico Erdocia, Elvis Shelton, Daniela Cury, Giovanna Chaves, Danilo Sacramento, Jorge Cerruti, Miguel Nader, Clóvys Tôrres, Erickson Felizardo, Latino, Edir Macedo;Alexandre Avancini;Paris Filmes, RECORD, Record Filmes, Downtown Filmes, Paris Entretenimento
MINHA MÃE É UMA PEÇA 3;11376931;2019;12;Comédia;Paulo Gustavo, Mariana Xavier, Rodrigo Pandolfo, Herson Capri, Samantha Schmütz, Alexandra Richter, Patrícya Travassos, Malu Valle, Stella Maria Rodrigues, Cadu Fávero, Lucas Cordeiro, Bruno Bebianno, Davi Goulart, Edmilson Barros, Giovanna de Toni, Ana Carbatti, Tracy Legal, Eduardo Reyes, Dani Ornellas, Maíra Charken, Flávio Pardal, Fernanda Caetano, Rodrigo de Odé, Viviana Rocha, Kadu Garcia, Camila Mayrink, Clara Serejo, Jaffar Bambirra, Fábio Guará, Neyde Braga, Ramón Gonçalves, Bernardo Felinto, João Júnior, Amaury de Lima, Régis de Sóris, Ari Guimas, Cláudio Garcia, Camila Lorenzo, Julio Lopes, Arthur Garbe, Jessica Ward, Jesse Grant, Sallieu Sesay, Honey Lauren, Theo de Almeida, Alice Oliveira, Déa Lúcia;Susana Garcia;Migdal Filmes, Globo Filmes, Universal Pictures International, Paramount Pictures Brasil, Downtown Filmes, Telecine, Agência Nacional do Cinema - ANCINE
BARBIE;10709279;2023;12;Comédia, Aventura, Fantasia;Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae, Kate McKinnon, Alexandra Shipp, Emma Mackey, Hari Nef, Sharon Rooney, Ana Cruz Kayne, Ritu Arya, Dua Lipa, Nicola Coughlan, Emerald Fennell, Simu Liu, Kingsley Ben-Adir, Ncuti Gatwa, Scott Evans, John Cena, Michael Cera, Rhea Perlman, Helen Mirren, Will Ferrell, Connor Swindells, Jamie Demetriou, Andrew Leung, Will Merrick, Zheng Xi Yong, Asim Chaudhry, Ray Fearon, Erica Ford, Hannah Khalique-Brown, Mette, Marisa Abela, Lucy Boynton, Rob Brydon, Tom Stourton, Chris Taylor, David Mumeni, Olivia Brody, Isla Ashworth, Eire Farrell, Daisy Duczmal, Genvieve Toussaint, Isabella Nightingale-Mercado, Millie-Rose Crossley, Anvita Nehru, Kayla-Mai Alvares, Luke Mullen, Patrick Luwis, Mac Brandt, Paul Jurewicz, Oraldo Austin, Benjamin Arthur, Carlos Jacott, Adam Ray, George Basil, Ptolemy Slocum, Deb Hiett, James Leon, Oliver Vaquer, Tony Noto, Christopher T. Wood, Ann Roth, Annie Mumolo, Elise Gallup, McKenna Roberts, Brylee Hsu, Sasha Milstein, Lauren Holt, Sterling Jones, Ryan Piers Williams, Jamaal Lewis, Kathryn Akin, Grace Jabbari, Ira Mandela Siobhan, Lisa Spencer, Naomi Weijand, Tom Clark, Ireanne Abenoja, Davide Albonetti, Charlotte Anderson, Michael Anderson, Rico Bakker, James Bamford, William John Banks, Callum Bell, Adam Blaug, Mason Boyce, Taylor Bradshaw, Alex Brown, Miekaile Browne, Lewis Calcutt, Nikkita Chadha, Oliver Chapman, Megan Charles, Callum Clack, Danny Coburn, Kat Collings, Adam Crossley, Sia Dauda, Gustave Die, Grace Durkin, Joelle Dyson, Lewis Easter, Onyemachi Ejimofor, Cameron Everitt, Luke Field-Wright, Sasha Flesch, Adam Fogarty, Michael John French, Anna-Kay Gayle, Charlie Goddard, Marlie Goddard, Ellis Harman, Yasmin Harrison, Josh Hawkins, James Healy, Tim Hodges, Mira Jebari, Beccy Jones, Thomas Kalek, Lily Laight, Maiya Leeke, Cristian Liberti, Prodromos Marneros, Nahum McLean, Jordan Melchor, Ramzan Miah, Andy Monaghan, Florivaldo Mossi, Hannah Nazareth, Grant Neal, Freja Nicole, Shaun Niles, Ella Nonini, Jack William Parry, Josie Pocock, Barnaby Quarendon, Redmand Rance, Zara Richards, Liam Riddick, Alana Rixon, Adam Paul Robertson, Kingdom Sibanda, Sebastian Skov Andersen, Aaron J. Smith, Joshua Smith, Lucia-Rose Sokolowski, Janine Somcio, Alex J Sturman, Callum Sterling, Todd Talbot, Charles Tatman, Grant Thresh, Connor Tidman, Wahchi Vong, Jerry Wan, Sasha Wareham, Stan West, Oliver Wheeler, Josh Wild, Joe Wolstenholme, Richard Womersley, Ashley Young;Greta Gerwig;LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures
LILO & STITCH;10279684;2025;10;Família, Ficção científica, Comédia;Maia Kealoha, Sydney Agudong, Chris Sanders, Zach Galifianakis, Billy Magnussen, Courtney B. Vance, Amy Hill, Tia Carrere, Kaipo Dudoit, Hannah Waddingham, Jason Scott Lee, Celia Kenney, Brutus LaBenz, Skyler Bible, Judy Nguyen, Christian Yeung, Courtney Coleman, Christina Souza, Emery Ho‘okano-Briel, Justin Martin, Isabelle Du, Elle Hipa, Arianna Jordan Ignacio Acidera, Aubrey Rose Madarang, Stephanie Lum, Don Nahaku, Tira Akina, Suzanne Green, Diana Curammeng Seppelfrick, Esera Tuaolo, Hualālai Chung, Mason Manuma, Alex Denney, David Hekili Kenui Bell, Mike Mitchell, Ashley Lambert, Lyanna Miyashiro, Raeyah Ibana-Tago, Drew Naone, Jessica Makua, Tiani Scott, Moanike‘ala Scott, Chez Napualani Panui, Sapati Laloulu, Achiles Tafiti, Elizabeth Peterson, Celeste Mosqueda, Sacha Lee, Jasmin Ella Mercado Domingo, Cassandra Kahoku'imo'imo Ainoa-Kanoho, Naomi Baldomero, Chansen Exzabe, Heinere Itchner, Jesus Kawaiaea-Benitez, Charles Temanaha, Tyrone Temanaha, Leigh Uta, Kanoa Kalā Kelaoha, Rudy Kapono Gaco, Dane Drewis, Nolan Hong, Brandon Toma, Mark Beltzman, Tumua Tuinei, Stephen Hadhazi, Genesis Molina, Alexander David Johnson;Dean Fleischer Camp;Walt Disney Pictures, Rideback
